Institut Municipal Barcelona Esports;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 1r pagament;0
Institut Municipal Barcelona Esports;2018;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 Liquidacio;0
Ajuntament de Barcelona;2018;BARCELONA ESCOLES + SOSTENIBLES 2018 2021;Millorar i consolidar el que s esta fent en l ambit de la natura i el medi;4000
Ajuntament de Barcelona;2018;BARCELONA ESCOLES + SOSTENIBLES 2018 2021;Repensar i Renovar;18000
Ajuntament de Barcelona;2018;BARCELONA ESCOLES + SOSTENIBLES 2018 2021;Fem una aula Exterior;4000
Ajuntament de Barcelona;2018;BARCELONA ESCOLES + SOSTENIBLES 2018 2021;Kostka verd;18000
Institut Municipal Barcelona Esports;2018;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 1r  pagament;0
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;25575
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;13530
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;44385
Ajuntament de Barcelona;2021;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  LES CORTS;CORREFOC UNITARI LES CORTS 2021;99900
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  LES CORTS;DIABLES DE LES CORTS 2017;20000
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  SANT MARTI;ACTUACIONS MUSICALS AL DISTRICTE DE SANT MART;22000
Ajuntament de Barcelona;2011;Convocatoria general subvencions 2011 Sant MartI;CONCERT MUSICAL;63000
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;66060
Ajuntament de Barcelona;2020;Convocatoria 2020 Promocio i Reforc de l Economia Social i Solid;Bicicargo a Sant Marti repartiment comunitari sostenible;180000
Ajuntament de Barcelona;2012;EXPEDIENT ORGAN GESTOR SANT MARTI;CONCERTS MUSICALS EN VIU;55000
Ajuntament de Barcelona;2013;Expedient organ gestor Districte de Sant Marti;CONCERTS MUSICALS EN DIRECTE;54000
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;64050
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  CIUTADANIA I PARTICIPA;FESTA DE LES CULTURES DE LA LLACUNA DEL POBLENOU;12725
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  CIUTADANIA I PARTICIPA;Festa de les cultures de la Llacuna del Poblenou;10000
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;81132
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;9954
Ajuntament de Barcelona;2011;CONVOCATORIA GENERAL SUBVENCIONS NOU BARRIS 2011;SUPORT A L ENTITAT;40000
Ajuntament de Barcelona;2011;CONVOCATORIA GENERAL SUBVENCIONS NOU BARRIS 2011;FESTA MAJOR TURO DE LA PEIRA;100000
Ajuntament de Barcelona;2011;CONVOCATORIA GENERAL SUBVENCIONS NOU BARRIS 2011;FESTES NADAL I CAVALCADA REIS;80000
Ajuntament de Barcelona;2012;Expedient organ gestor Districte de Nou Barris;FESTES NADAL I CAVALCADA REIS;80000
Ajuntament de Barcelona;2012;Expedient organ gestor Districte de Nou Barris;FESTA MAJOR TURO PEIRA;100000
Ajuntament de Barcelona;2012;Expedient organ gestor Districte de Nou Barris;SUPORT A L ENTITAT;40000
Ajuntament de Barcelona;2022;CONVOCATORIA GENERAL DE SUBVENCIONS 2022  NOU BARRIS;Fiesta Mayor del Turo de la Peira 2022;50000
Ajuntament de Barcelona;2022;CONVOCATORIA GENERAL DE SUBVENCIONS 2022  NOU BARRIS;Turo Digital;20000
Ajuntament de Barcelona;2022;CONVOCATORIA GENERAL DE SUBVENCIONS 2022  NOU BARRIS;Suport a L entitat;20000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014  Districte de Nou Barris;Festes de NAdal i Cabalcada de Reis;80000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014  Districte de Nou Barris;suport a l entitat;40000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014  Districte de Nou Barris;Festa major del Barri del Turo de la Peira;100000
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  NOU BARRIS;Festa major Barri Turo de la Peira;100000
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  NOU BARRIS;Apoyo a la entidad;40000
Ajuntament de Barcelona;2015;Convocatoria general 2015   Districte de Nou Barris;SUPORT A L ENTITAT;40000
Ajuntament de Barcelona;2015;Convocatoria general 2015   Districte de Nou Barris;FESTA MAJOR DEL BARRI DEL TURO DE LA PEIRA;100000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  NOU BARRIS;FESTA MAJOR DEL BARRI DEL TURO DE  LA PEIRA;100000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  NOU BARRIS;SUPORT A L  ENTITAT;40000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  NOU BARRIS;FESTES DE  NADAL I CAVALCADA DE REIS;80000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  NOU BARRIS;FESTES DE NADAL I CAVALCADA DE REIS;80000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  NOU BARRIS;FESTA MAJOR DEL BARRI DEL TURO DE LA PEIRA;100000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  NOU BARRIS;SUPORT A L  ENTITAT;40000
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  NOU BARRIS;TardaZas de Juegos;3000
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  NOU BARRIS;Grup de Foc Bruixes i Bruixots de Trini  Nova;45000
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;443323
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;45870
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Convocatoria subv entitats esportives   COVID;3785
Institut de Cultura de Barcelona;2022;TIC 2022;Cimeres i Accio Intervencio audiovisual ;127014
Institut de Cultura de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  ICUB;Seguent Pas;35000
Institut de Cultura de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  ICUB;Seguent Pas  Cap als reptes d una nova etapa;49199
Institut de Cultura de Barcelona;2020;Convocatoria extraordinaria efectes Covid 19 projectes culturals;Convocatoria de subvenciones 2020 para paliar los efectos de la crisis sani;2196006
Ajuntament de Barcelona;2020;Convocatoria de Justicia global i Cooperacio Internacional 2020;Nosaltres creem  dones en lluita per la transformacio social;200000
Institut de Cultura de Barcelona;2021;SUBVENCIONS NOMINATIVES;COLABORACIO ENTRE L ICUB I L AXAC PEL FINANCAMENT;647220
Institut de Cultura de Barcelona;2011;Convocatoria general de subvencions 2011 ICUB;TRITEXTUALS;60000
Institut de Cultura de Barcelona;2014;Convocatoria de subvencions 2014  ICUB;ENCONTRE D ESCRIPTORS CATALANS BASCOS I GALLECS;60000
Institut de Cultura de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  ICUB;ACTIVITATS LITERARIES DE L AELC 2019;180000
Institut de Cultura de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  ICUB;XXVI SEMINARI SOBRE LA TRADUCCIO A CATALUNYA;49000
Institut de Cultura de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  ICUB;FOMENT DE LA LECTURA EN LLENGUA CATALANA PER A JOVES LECTORS;50000
Institut de Cultura de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  ICUB;QLIT FESTIVAL DE LITERATURA QUWER;93000
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  GRACIA;Esplai Sant Jordi 2019;20000
Ajuntament de Barcelona;2021;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  GRACIA;Esplai Sant Jordi 2021;22000
Ajuntament de Barcelona;2017;AJUTS;Ajut del programa Promocio i participacio infancia;53070
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  GRACIA;ESPLAI SANT JORDI 2017;20000
